id,series,talks_list,website,series_info
64,"Licia Verde's Talks (youtube playlist)",[[talks]](/cosmotalks/talks?series=64),[[website]](https://www.youtube.com/watch?v=C_nim3H7GYE&list=PLb0Uu8daWIA0eDBxZEHvf5-l2OAUCujZW&index=1),""
169,"LIneA (Laboratório Interinstitucional de e-Astronomia)",[[talks]](/cosmotalks/talks?series=169),[[website]](https://www.youtube.com/user/lineamcti/videos),"<a href=""https://linea.org.br/010-ciencia/webinars/4-seminarios/"">webinars site</a>"
30,"LISA Mission",[[talks]](/cosmotalks/talks?series=30),[[website]](https://www.youtube.com/c/LISAmissionORG/videos),""
86,"LSST Dark Energy Science Collaboration",[[talks]](/cosmotalks/talks?series=86),[[website]](https://lsstdesc.org/),""
80,"McGill Physics Seminars",[[talks]](/cosmotalks/talks?series=80),[[website]](https://www.physics.mcgill.ca/seminars/),""
142,"McGill Space Institute",[[talks]](/cosmotalks/talks?series=142),[[website]](https://www.youtube.com/c/McGillSpaceInstitute/videos),""
200,"Meeting on Fundamental Cosmology",[[talks]](/cosmotalks/talks?series=200),[[website]](https://meetings.iac.es/cosmo2023/pages/conference-programme.php),"slides at event website, also see <a href=""https://jrdmb.netlify.app/crsl.html?s1=Meeting+on+Fundamental+Cosmology"">links on slides app</a>"
6,"Michigan Cosmology Summer School 2020 on LSS",[[talks]](/cosmotalks/talks?series=6),[[website]](https://sites.google.com/a/umich.edu/cosmology-summer-school-2020/home),"<a href=""https://sites.google.com/a/umich.edu/cosmology-summer-school-2020/schedule-of-events"">slides on website</a>; website video links not working - instead see this <a href=""https://www.youtube.com/watch?v=2bBWxX_2y48&list=PLYqBtMts3CQyOvCE3r0Yww2yiiNpbtZPd"">partial playlist</a>"
191,"Michigan Cosmology Summer School 2023",[[talks]](/cosmotalks/talks?series=191),[[website]](https://www.youtube.com/playlist?list=PL8yeUht3DxGO_bH9cMCbYcrv_lTxCVJ3c),"<a href=""https://johannesulf.github.io/cosmology-school-2023/program.html"">website with slides, code, and video links</a>"
62,"MINERVA seminars",[[talks]](/cosmotalks/talks?series=62),[[website]](https://www.youtube.com/@minervalive8675/streams),""
22,Miscellaneous,[[talks]](/cosmotalks/talks?series=22),[[website]](https://jrdmb.netlify.app/crt.html?s1=Miscellaneous),""
58,"MIT 8.286 The Early Universe: 2020 course by Alan Guth",[[talks]](/cosmotalks/talks?series=58),[[website]](https://web.mit.edu/8.286/www/),""
36,"MITP Non-perturbative Phenomena and the Early Universe",[[talks]](/cosmotalks/talks?series=36),[[website]](https://www.youtube.com/playlist?list=PLejkXpUan6WFDQGVd6f6-eIfxbQpYljL2),""
37,"MITP Summer School 2017",[[talks]](/cosmotalks/talks?series=37),[[website]](https://indico.mitp.uni-mainz.de/event/88/),""
87,MLclub.net,[[talks]](/cosmotalks/talks?series=87),[[website]](https://docs.google.com/document/d/1GGtE-YIuAWlmpKSr38_kyiF-Fklszhkh4FkiYWzBAho/pub),""
15,Newton1665,[[talks]](/cosmotalks/talks?series=15),[[website]](https://www.youtube.com/c/Newton1665physicsseminars/videos),""
49,NORDITA,[[talks]](/cosmotalks/talks?series=49),[[website]](https://www.nordita.org/video/index.php?ev=advcosmo2017),"<a href=""https://nordita.org/events/list/index.php"">events</a>"
81,"NYU Physics Research Seminars",[[talks]](/cosmotalks/talks?series=81),[[website]](https://www.youtube.com/@NYUPhysics/videos),"<a href=""https://physics.nyu.edu/videos.html"">events site</a>"
